,,S,M,MS,B,BS,BM,BMS,E,ES,EM,EMS,EB,EBS,EBM,EBMS,F,FS,FM,FMS,FB,FBS,FBM,FBMS,FE,FES,FEM,FEMS,FEB,FEBS,FEBM,FEBMS,H,HS,HM,HMS,HB,HBS,HBM,HBMS,HE,HES,HEM,HEMS,HEB,HEBS,HEBM,HEBMS,HF,HFS,HFM,HFMS,HFB,HFBS,HFBM,HFBMS,HFE,HFES,HFEM,HFEMS,HFEB,HFEBS,HFEBM,HFEBMS
FEBMS,92.33,62.18,90.01,60.47,91.99000000000001,62.56,89.72,60.64000000000001,88.27000000000001,54.61,85.35000000000001,52.5,88.1,54.67999999999999,84.77,52.669999999999995,89.7,58.120000000000005,86.87,57.29,89.27000000000001,58.589999999999996,86.47,57.66,85.06,50.63999999999999,81.27,49.419999999999995,84.49,50.64999999999999,80.9,49.53,23.630000000000003,16.09,23.169999999999998,17.26,23.36,16.0,22.66,17.23,18.310000000000002,11.44,17.330000000000002,12.46,17.87,11.219999999999999,16.91,12.36,23.45,16.23,22.689999999999998,17.48,23.35,16.24,22.34,17.37,17.88,11.86,16.919999999999998,12.57,17.669999999999998,11.73,16.56,12.659999999999998
H,95.0,84.44,94.66,83.06,94.95,84.61,94.49,83.39,91.86,77.63,91.01,76.39,91.57,77.94,90.89,76.52,93.57,83.14,93.12,81.84,93.60000000000001,83.56,92.84,82.27,89.82,75.56,88.79,74.64,89.58,75.89,88.44,74.99,49.62,40.56,48.46,41.67,48.79,40.33,48.04,41.660000000000004,40.69,31.19,39.739999999999995,32.14,39.51,30.89,38.940000000000005,31.81,48.46,40.56,47.760000000000005,41.4,47.9,40.42,47.48,41.349999999999994,39.77,31.1,39.0,32.029999999999994,38.81,30.9,38.3,31.630000000000003
HS,97.92999999999999,89.83,97.1,89.2,97.96000000000001,89.78,97.21,89.25,96.50999999999999,85.31,95.27,84.46000000000001,96.39999999999999,85.53,95.56,84.69,97.50999999999999,88.19,96.41,88.17,97.56,88.38000000000001,96.56,88.14999999999999,95.87,83.2,94.42,82.94,95.67999999999999,83.55,94.51,82.88,59.599999999999994,50.29,58.46,50.32,58.830000000000005,50.39,57.66,50.6,53.269999999999996,43.269999999999996,51.800000000000004,43.82,52.49,43.36,51.01,43.99,58.97,50.580000000000005,57.67,50.91,58.17,50.82,56.85,51.190000000000005,52.53,43.669999999999995,51.32,44.190000000000005,51.71,43.84,50.339999999999996,44.269999999999996
HM,95.49,85.95,94.74000000000001,84.8,95.37,85.91,94.57,85.1,92.56,79.08,90.98,77.98,92.17,79.3,90.83,78.27,93.95,84.14,93.64,83.77,93.99,84.41,93.27,83.87,90.24,76.77000000000001,89.25999999999999,76.14999999999999,89.89,77.09,89.13,76.42,50.89,41.620000000000005,50.080000000000005,42.74,50.09,41.27,49.6,42.57,41.660000000000004,32.46,40.92,33.35,41.03,32.22,40.35,33.050000000000004,49.55,41.589999999999996,49.0,42.46,49.02,41.349999999999994,48.699999999999996,42.19,40.47,32.300000000000004,39.83,32.98,40.0,32.17,39.32,32.51
HMS,97.77,89.38000000000001,97.41,88.12,97.83,89.25999999999999,97.47,88.22,96.55,84.23,95.8,82.88,96.50999999999999,84.28999999999999,95.76,83.0,97.22,88.05,96.67,87.03999999999999,97.22,88.06,96.67,87.22999999999999,95.78,82.73,94.63000000000001,81.8,95.65,82.78,94.55,81.87,58.95,49.76,57.65,49.99,57.89,49.93,56.58,49.96,52.72,42.93,51.27,42.71,51.800000000000004,42.970000000000006,50.690000000000005,42.71,58.37,50.21,57.04,50.080000000000005,57.36,50.46000000000001,56.00000000000001,50.160000000000004,52.05,43.419999999999995,50.629999999999995,42.9,50.89,43.56,49.91,42.970000000000006
HB,95.64,84.54,95.05,83.36,95.49,84.75,94.81,83.72,92.71000000000001,77.88000000000001,91.71000000000001,76.72,92.44,78.18,91.60000000000001,76.99000000000001,94.31,83.53,93.58999999999999,82.35,94.25,83.89,93.37,82.77,91.01,76.05,89.72,75.1,90.72,76.25999999999999,89.53999999999999,75.5,50.260000000000005,41.17,49.04,42.76,49.44,41.0,48.84,42.76,41.25,32.11,40.29,33.01,40.03,31.669999999999998,39.489999999999995,32.7,49.17,41.03,48.559999999999995,42.3,48.59,40.86,48.38,42.29,40.239999999999995,31.790000000000003,39.56,32.93,39.25,31.46,38.9,32.58
HBS,98.02,90.0,97.08,89.27000000000001,97.99,89.99000000000001,97.11,89.29,96.72,85.68,95.27,84.66,96.47,85.99,95.47,84.83000000000001,97.54,88.4,96.50999999999999,88.23,97.61999999999999,88.63,96.63000000000001,88.17,95.94,83.43,94.45,83.11,95.81,83.75,94.48,83.08,59.68,50.22,58.589999999999996,50.19,59.07,50.21,57.699999999999996,50.41,53.68000000000001,43.19,52.09,43.769999999999996,52.86,43.21,51.17,43.919999999999995,58.91,50.33,57.809999999999995,50.83,58.28,50.480000000000004,56.910000000000004,51.0,52.78,43.519999999999996,51.5,44.04,52.019999999999996,43.64,50.5,44.1
HBM,95.95,86.33,95.22,84.99,95.92,86.27,95.15,85.38,93.49,79.5,91.8,78.24,93.12,79.73,91.71000000000001,78.55,94.69999999999999,84.45,94.25,84.15,94.73,84.67,93.89,84.31,91.42,77.47,90.24,76.69,91.10000000000001,77.74,90.05,77.02,51.739999999999995,42.49,50.870000000000005,43.55,50.949999999999996,42.26,50.44,43.45,42.309999999999995,33.660000000000004,41.6,34.0,41.75,33.26,41.08,33.67,50.449999999999996,42.44,49.830000000000005,43.08,49.95,42.26,49.55,42.94,41.099999999999994,33.36,40.45,33.75,40.73,33.15,40.06,33.339999999999996
HBMS,97.83,89.59,97.37,88.03999999999999,97.78999999999999,89.47,97.38,88.08,96.56,84.55,95.87,82.88,96.46000000000001,84.64,95.83,82.97,97.14,88.23,96.63000000000001,87.06,97.17,88.33,96.64,87.19,95.69,82.88,94.53,81.78,95.58,82.98,94.42,81.71000000000001,58.81999999999999,49.93,57.989999999999995,50.09,57.95,49.97,56.99999999999999,50.019999999999996,52.769999999999996,43.01,51.66,42.730000000000004,52.05,43.07,51.080000000000005,42.68,58.35,50.349999999999994,57.330000000000005,50.260000000000005,57.50999999999999,50.519999999999996,56.32,50.33,52.25,43.44,50.99,42.84,51.27,43.57,50.239999999999995,42.88
HE,98.34,88.13,97.83,87.24,98.32,88.16000000000001,97.82,87.37,97.00999999999999,82.67,96.21,81.69,96.92,82.98,96.06,81.87,97.64,87.1,96.97,86.11,97.64,87.47,97.06,86.31,95.7,81.31,94.86,80.5,95.66,81.61,94.82000000000001,80.77,58.919999999999995,46.400000000000006,57.67,47.58,58.050000000000004,46.11,57.25,47.36,49.76,37.519999999999996,48.620000000000005,38.279999999999994,48.79,37.36,48.06,37.87,57.85,46.89,56.81,47.78,57.14,46.7,56.68,47.49,48.75,37.72,47.67,38.43,47.94,37.71,47.199999999999996,38.019999999999996
HES,99.17,92.71000000000001,98.96000000000001,92.11,99.09,92.71000000000001,99.0,92.25,98.46000000000001,89.36,97.97,88.59,98.34,89.46,98.05,88.69,98.91,91.38,98.56,91.29,98.97,91.41,98.64,91.34,98.1,87.81,97.45,87.29,98.03,87.83999999999999,97.44,87.33999999999999,68.67999999999999,57.53,67.52,57.269999999999996,68.0,57.56,66.74,57.3,62.68,50.55,61.14000000000001,51.06,61.7,50.77,60.089999999999996,51.07000000000001,68.53,58.03,67.17,57.940000000000005,67.69,57.93000000000001,66.21000000000001,58.089999999999996,62.019999999999996,51.2,60.49,51.53,61.09,51.28,59.51,51.54
HEM,98.57000000000001,89.18,98.15,88.44,98.54,89.21,97.95,88.51,97.1,84.1,96.16,83.16,97.00999999999999,84.43,96.04,83.27,97.78999999999999,88.07000000000001,97.26,87.71,97.8,88.14,97.02,87.61,95.88,82.5,94.89,82.01,95.84,82.67999999999999,94.91000000000001,82.06,60.550000000000004,47.96,59.57,48.99,59.699999999999996,47.760000000000005,58.96,48.52,51.31,38.72,50.339999999999996,39.54,50.5,38.550000000000004,49.71,39.21,59.47,48.15,58.730000000000004,48.64,58.709999999999994,47.980000000000004,58.18,48.199999999999996,50.2,38.85,49.18,39.190000000000005,49.51,38.78,48.55,38.81
HEMS,99.19,92.43,99.0,91.43,99.22,92.41,99.08,91.53,98.68,88.68,98.11,87.5,98.61999999999999,88.69,98.21,87.66000000000001,98.98,91.49000000000001,98.72,90.64999999999999,99.00999999999999,91.34,98.65,90.73,98.35000000000001,87.36,97.56,86.57000000000001,98.24000000000001,87.03,97.53,86.77,68.62,56.71000000000001,67.62,56.65,67.19000000000001,56.79,66.46,56.510000000000005,61.970000000000006,50.080000000000005,60.650000000000006,50.129999999999995,60.9,50.07,59.88,50.12,68.17999999999999,57.43000000000001,67.51,57.11000000000001,66.94,57.49999999999999,66.34,56.96,61.42999999999999,50.82,60.19,50.529999999999994,60.260000000000005,50.8,59.440000000000005,50.41
HEB,98.63,88.22,98.06,87.59,98.57000000000001,88.46000000000001,97.92999999999999,87.78,97.45,82.96,96.55,82.13000000000001,97.36,83.35000000000001,96.33,82.45,98.04,87.42999999999999,97.28,86.4,98.04,87.79,97.26,86.75,96.39999999999999,81.78999999999999,95.45,80.89,96.28999999999999,81.99,95.28,81.23,59.29,47.06,57.98,48.64,58.58,46.739999999999995,57.68,48.449999999999996,50.38,38.42,49.26,39.35,49.4,38.15,48.69,38.93,58.26,47.24,57.29,48.72,57.69,47.0,57.230000000000004,48.49,49.39,38.4,48.33,39.42,48.46,38.25,47.82,39.050000000000004
HEBS,99.26,92.78,98.97,92.07,99.2,92.85,99.03,92.22,98.61,89.59,98.00999999999999,88.78,98.47,89.78,98.03,88.97,98.97,91.47999999999999,98.57000000000001,91.22,99.03,91.56,98.67,91.25,98.19,87.88,97.43,87.35000000000001,98.14,87.9,97.39,87.51,68.42,57.25,67.33,57.13,67.92,57.269999999999996,66.60000000000001,57.16,62.760000000000005,50.31,61.28,50.79,61.809999999999995,50.54,60.17,50.82,68.21000000000001,57.66,67.09,57.830000000000005,67.58999999999999,57.620000000000005,66.16,57.92,61.99,50.86000000000001,60.56,51.17,61.129999999999995,50.970000000000006,59.56,51.23
HEBM,98.82,89.45,98.32,88.7,98.72999999999999,89.44,98.09,88.85,97.64,84.45,96.61,83.61,97.46000000000001,84.87,96.48,83.91,98.13,88.26,97.53,88.1,98.14,88.14999999999999,97.2,88.11,96.49,83.03,95.36,82.58,96.41,83.1,95.28,82.71,61.31999999999999,48.63,60.199999999999996,49.559999999999995,60.529999999999994,48.370000000000005,59.58,49.19,52.03,39.62,51.05,40.17,51.2,39.36,50.4,39.83,60.22,48.88,59.440000000000005,49.18,59.599999999999994,48.69,58.85,48.82,50.839999999999996,39.75,49.88,39.92,50.14999999999999,39.61,49.27,39.54
HEBMS,99.2,92.55,98.97,91.27,99.22,92.56,99.08,91.36999999999999,98.68,88.82,98.08,87.48,98.68,88.85,98.22,87.68,99.0,91.47,98.72999999999999,90.53999999999999,99.03,91.39,98.7,90.60000000000001,98.36,87.42999999999999,97.50999999999999,86.42,98.34,87.13,97.46000000000001,86.67,68.54,56.82000000000001,67.65,56.730000000000004,67.25,56.830000000000005,66.62,56.489999999999995,62.07,50.07,60.79,50.01,61.050000000000004,50.11,60.08,49.980000000000004,68.10000000000001,57.47,67.47,57.31,67.03,57.47,66.45,57.07,61.51,50.78,60.3,50.43,60.42999999999999,50.78,59.62,50.3
HF,95.3,84.92,94.84,83.33,95.34,84.98,94.71000000000001,83.6,92.14,78.13,91.31,76.62,92.03,78.29,91.3,76.75,93.99,83.71,93.08999999999999,82.19,94.14,83.83,93.16,82.57,90.06,76.28,89.03999999999999,74.99,89.87,76.49000000000001,89.09,75.39,50.64999999999999,40.6,49.64,41.730000000000004,49.68,40.27,49.120000000000005,41.56,41.47,31.490000000000002,40.2,32.39,40.47,31.0,39.64,31.96,49.45,40.96,48.699999999999996,41.79,48.76,40.660000000000004,48.120000000000005,41.46,40.699999999999996,31.53,39.64,32.22,39.89,31.130000000000003,39.1,31.78
HFS,97.91,89.46,97.09,88.74,97.84,89.72,97.13000000000001,88.92999999999999,96.55,84.91,94.92,84.02,96.3,85.26,95.15,84.14,97.37,88.07000000000001,96.53,87.39,97.39,88.1,96.55,87.59,95.8,82.49,94.16,82.22,95.54,82.83,94.11,82.28999999999999,59.27,50.12,57.79,50.160000000000004,58.45,50.370000000000005,57.08,50.449999999999996,53.04,42.91,51.29,43.480000000000004,52.27,43.03,50.5,43.66,58.940000000000005,50.44,57.48,50.36000000000001,58.089999999999996,50.71,56.71000000000001,50.660000000000004,52.59,43.21,51.2,43.62,51.82,43.32,50.36000000000001,43.7
HFM,95.71,86.32,94.98,84.75,95.66,86.27,94.85,84.86,92.83,79.34,91.57,77.92999999999999,92.58,79.46,91.24,78.24,94.39999999999999,84.52,93.69,83.84,94.44,84.77,93.45,83.99,90.4,77.4,89.67,76.46,90.25999999999999,77.66,89.57000000000001,76.68,51.93,41.54,50.970000000000006,42.82,51.23,41.21,50.38,42.52,42.53,32.76,41.42,33.53,41.93,32.35,40.98,33.11,50.83,41.69,50.01,42.730000000000004,50.260000000000005,41.370000000000005,49.53,42.29,41.55,32.72,40.68,33.300000000000004,41.08,32.36,40.35,32.71
HFMS,97.81,89.32,97.34,88.03999999999999,97.87,89.51,97.26,88.06,96.27,84.50999999999999,95.50999999999999,83.00999999999999,96.28999999999999,84.49,95.48,82.89,97.13000000000001,87.45,96.50999999999999,86.89,97.23,87.49,96.59,87.09,95.62,82.44,94.44,81.76,95.53,82.5,94.43,81.78999999999999,59.03,49.88,57.35,49.830000000000005,58.24,49.97,56.330000000000005,49.7,52.6,43.11,50.92,42.76,51.77,43.11,50.3,42.82,58.53,50.23,56.89999999999999,50.1,57.809999999999995,50.4,56.06,50.129999999999995,52.03,43.35,50.39,43.1,51.05,43.41,49.85,43.25
HFB,95.78,84.78,95.19,83.49,95.73,85.00999999999999,95.05,83.91,92.91,78.25,91.9,76.57000000000001,92.83,78.49000000000001,91.88,77.01,94.46,83.77,93.58,82.38,94.6,84.03,93.67,82.94,91.17,76.3,89.94,75.18,91.06,76.55,90.02,75.67,51.06,41.43,50.2,42.94,50.13999999999999,41.099999999999994,49.91,42.75,41.77,32.23,40.79,33.12,40.760000000000005,31.72,40.239999999999995,32.74,49.919999999999995,41.760000000000005,49.53,42.69,49.26,41.370000000000005,49.03,42.43,40.93,32.21,40.19,32.97,40.150000000000006,31.669999999999998,39.64,32.519999999999996
HFBS,97.95,89.69,97.07000000000001,88.81,97.82,89.97,97.08,88.98,96.64,85.24000000000001,95.0,84.25,96.31,85.6,95.07,84.34,97.3,88.13,96.59,87.39,97.34,88.2,96.64,87.61,95.71,82.73,94.26,82.34,95.50999999999999,82.97,94.17999999999999,82.39,59.48,50.11,58.26,49.85,58.76,50.239999999999995,57.42,50.12,53.39,42.78,51.7,43.22,52.53,42.82,50.77,43.34,58.96,50.24999999999999,57.940000000000005,50.260000000000005,58.209999999999994,50.46000000000001,56.99999999999999,50.49,52.790000000000006,43.1,51.54,43.49,51.99,43.16,50.54,43.47
HFBM,96.05,86.53999999999999,95.34,85.11999999999999,96.06,86.47,95.30999999999999,85.39,93.54,79.80000000000001,92.27,78.16,93.30000000000001,79.94,91.93,78.49000000000001,94.76,84.74000000000001,94.32000000000001,84.11999999999999,94.92,84.78,94.05,84.34,91.42,77.79,90.49000000000001,76.77000000000001,91.35,77.99000000000001,90.36999999999999,77.0,52.65,42.36,51.61,43.6,51.94,42.03,51.080000000000005,43.38,43.08,33.62,42.01,34.12,42.559999999999995,33.15,41.6,33.72,51.66,42.53,50.760000000000005,43.230000000000004,51.0,42.24,50.24999999999999,43.02,42.02,33.46,41.19,33.92,41.69,33.11,40.89,33.4
HFBMS,97.87,89.55,97.28999999999999,87.91,97.89,89.69,97.2,87.94,96.37,84.78999999999999,95.56,83.02000000000001,96.36,84.81,95.47,82.91,97.17,87.68,96.45,86.8,97.28,87.79,96.55,86.95,95.63000000000001,82.66,94.25,81.85,95.58,82.78999999999999,94.27,81.84,58.85,50.03999999999999,57.87,49.9,58.19,49.980000000000004,56.97,49.79,52.72,43.169999999999995,51.44,42.870000000000005,51.94,43.14,50.79,42.88,58.39,50.23,57.269999999999996,50.160000000000004,57.709999999999994,50.32,56.49999999999999,50.2,52.28,43.37,50.91,43.07,51.27,43.38,50.22,43.14
HFE,98.49,88.25,97.96000000000001,87.35000000000001,98.53,88.26,97.94,87.53,97.17,83.05,96.41,82.0,97.11999999999999,83.49,96.32,82.14,97.71,87.35000000000001,97.02,86.4,97.74000000000001,87.67,97.16,86.5,95.89999999999999,81.88,94.94,80.94,95.78999999999999,82.26,94.92,81.11,60.029999999999994,46.81,58.5,47.81,59.07,46.33,58.02,47.48,50.59,37.89,49.53,38.61,49.830000000000005,37.38,49.08,38.18,58.87,47.13,57.730000000000004,47.94,58.209999999999994,46.72,57.4,47.49,49.730000000000004,38.04,48.65,38.690000000000005,49.04,37.61,48.18,38.17
HFES,99.17,92.47999999999999,98.89,91.79,99.11,92.71000000000001,98.89,91.97,98.53,88.98,97.69,88.18,98.38,89.29,97.78,88.33,98.8,91.32000000000001,98.53,90.85,98.83999999999999,91.45,98.6,91.02,98.17,87.5,97.28,86.71,98.0,87.66000000000001,97.32,86.85000000000001,68.38,57.489999999999995,67.32000000000001,57.49999999999999,67.71000000000001,57.58,66.49000000000001,57.63,62.580000000000005,50.42,60.760000000000005,50.77,61.67,50.580000000000005,59.81999999999999,50.93,68.7,57.8,67.25,57.64,67.89,57.87,66.36999999999999,57.78,62.27,50.73,60.62,51.04,61.36000000000001,50.81,59.67,51.12
HFEM,98.59,89.18,98.19,88.51,98.58,89.41,98.06,88.62,97.22,84.45,96.39999999999999,83.63000000000001,97.16,84.88,96.28,83.72,97.84,88.28,97.38,87.82,97.83,88.55,97.18,87.79,96.11,83.05,95.19999999999999,82.55,95.94,83.37,95.13000000000001,82.53,61.370000000000005,48.010000000000005,59.870000000000005,49.120000000000005,60.6,47.63,59.29,48.71,51.99,39.37,50.92,40.02,51.35999999999999,38.86,50.55,39.489999999999995,60.550000000000004,48.14,59.24,48.96,59.77,47.85,58.660000000000004,48.57,51.17,39.47,49.89,39.69,50.54,39.01,49.51,39.11
HFEMS,99.2,92.46,98.99,91.44,99.25,92.56,98.97,91.66,98.61,89.07000000000001,97.99,87.56,98.55000000000001,89.11,98.03,87.55,98.81,91.32000000000001,98.69,90.57,98.89,91.25,98.65,90.84,98.26,87.33999999999999,97.5,86.65,98.14,87.19,97.49,86.79,68.38,57.379999999999995,67.22,57.16,67.30000000000001,57.47,66.25999999999999,56.96,61.77,50.629999999999995,60.45,50.24999999999999,60.980000000000004,50.660000000000004,59.91,50.260000000000005,68.28,57.52,67.14,57.49999999999999,67.28,57.75,66.12,57.29,61.419999999999995,50.949999999999996,60.01,50.54,60.47,51.03,59.419999999999995,50.580000000000005
HFEB,98.74000000000001,88.23,98.2,87.62,98.7,88.46000000000001,98.07000000000001,87.91,97.55,83.23,96.69,82.33,97.49,83.65,96.52,82.65,98.02,87.46000000000001,97.38,86.58,98.04,87.78,97.42,86.92999999999999,96.49,81.82000000000001,95.50999999999999,81.14,96.31,82.14,95.35,81.39,60.24,47.65,58.830000000000005,48.83,59.5,47.21,58.589999999999996,48.46,51.18000000000001,38.48,50.1,39.39,50.41,38.03,49.769999999999996,38.93,59.28,47.79,58.34,48.809999999999995,58.809999999999995,47.4,58.160000000000004,48.339999999999996,50.370000000000005,38.64,49.28,39.37,49.6,38.2,48.84,38.81
HFEBS,99.21,92.7,98.92,91.84,99.16,92.95,98.94,92.01,98.61,89.2,97.7,88.37,98.44000000000001,89.53999999999999,97.72,88.57000000000001,98.85000000000001,91.36999999999999,98.52,90.86999999999999,98.87,91.55,98.59,91.03999999999999,98.19,87.49,97.2,86.76,98.00999999999999,87.62,97.2,86.98,68.35,57.269999999999996,67.30000000000001,57.36,67.86,57.34,66.53999999999999,57.440000000000005,62.71,50.11,61.019999999999996,50.519999999999996,61.9,50.29,60.0,50.660000000000004,68.51,57.57,67.27,57.599999999999994,67.93,57.68,66.41,57.68,62.29,50.41,60.809999999999995,50.849999999999994,61.529999999999994,50.54,59.81999999999999,50.94
HFEBM,98.86,89.41,98.41,88.64,98.77,89.58,98.22999999999999,88.91,97.69,84.68,96.78999999999999,83.82,97.56,85.18,96.64,84.15,98.17,88.48,97.61999999999999,88.11,98.18,88.48,97.37,88.2,96.71,83.14,95.6,82.97,96.56,83.39,95.44,83.05,61.92999999999999,48.809999999999995,60.419999999999995,49.57,61.28,48.42,59.98,49.26,52.66,39.87,51.53,40.37,52.1,39.39,51.239999999999995,39.86,61.050000000000004,49.0,59.86,49.370000000000005,60.42999999999999,48.72,59.37,49.1,51.739999999999995,40.06,50.470000000000006,40.160000000000004,51.18000000000001,39.64,50.12,39.62
HFEBMS,99.21,92.58,98.95,91.28,99.25,92.75,98.95,91.47999999999999,98.7,89.12,97.99,87.5,98.66,89.2,98.06,87.53,98.87,91.33,98.66,90.47,98.92999999999999,91.31,98.63,90.67,98.29,87.44,97.39999999999999,86.53999999999999,98.2,87.32,97.39,86.71,68.28,57.37,67.31,57.230000000000004,67.30000000000001,57.4,66.49000000000001,56.98,61.86000000000001,50.470000000000006,60.67,50.17,61.08,50.56,60.099999999999994,50.17,68.13,57.48,67.16,57.599999999999994,67.24,57.66,66.25999999999999,57.34,61.46,50.760000000000005,60.23,50.449999999999996,60.540000000000006,50.88,59.61,50.49
